id,name,position,year,Estimate,Std. Error,z value,Pr(>|z|)
17,Alfonso Garcia Bringas,Skipper,21,1.1681969180207,0.271089714004178,4.30926316150341,1.63799366329316e-05
147,Shawn Harvey,Skipper,22,1.04458718833646,0.135073725053684,7.73345954530603,1.04662640011747e-14
2297,Griffin Beaulieu,Skipper,27,0.786320133773696,0.768337445514748,1.02340467507333,0.306116549886745
46,Telis Athanasopoulos Yogo,Skipper,22,0.72899554168378,0.226767323385913,3.21472922464748,0.0013056762150704
1778,Dillon Garcia,Skipper,27,0.726093245050778,0.774215341790226,0.937844041390119,0.348324564159255
41,Gage Schoenherr,Skipper,21,0.682855908764522,0.221895929861663,3.07737014009332,0.002088358087361
657,Jack Parkin,Skipper,21,0.678770585308774,0.148049263141695,4.58476165909137,4.54504588664779e-06
1134,Justin Callahan,Skipper,26,0.666844714192116,0.107003175805037,6.23200862194154,4.60492125383046e-10
368,Lachlain McGranahan,Skipper,24,0.585435721045493,0.103891042843278,5.63509331529799,1.74963570953031e-08
74,Jack Brown,Skipper,21,0.555232430646947,0.261614864565913,2.12232753505128,0.0338102427671817
120,Jack Reiter,Skipper,22,0.543378213016625,0.13472089391764,4.03336258553045,5.49843393734446e-05
390,Jack Egan,Skipper,25,0.507806962749826,0.104248922628183,4.87110034279189,1.10978457339885e-06
1232,Vanessa Lahrkamp,Skipper,26,0.506916967341206,0.116243999411272,4.36080115884289,1.29587088908437e-05
141,Robert Bragg,Skipper,23,0.457711101317079,0.103589868578489,4.41849292404763,9.93915336674855e-06
44,Luke Ingalls,Skipper,21,0.438458533605442,0.266260957779262,1.64672484190843,0.0996146157058669
1818,Thomas Sitzmann,Skipper,27,0.436330930350171,0.136831827900694,3.18881167521082,0.0014285891365985
126,Teddy Nicolosi,Skipper,24,0.432943610296946,0.106949075265389,4.04812859973418,5.1628778608023e-05
1074,Liam O'Keefe,Skipper,26,0.426394303452351,0.11392591541177,3.74273317805879,0.0001820294858381
131,Connor Nelson,Skipper,24,0.353900288754052,0.100713719148186,3.51392334378337,0.0004415402128075
130,Maddie Hawkins,Skipper,24,0.31083846561129,0.100677617304616,3.08746346937074,0.0020187258200135
142,Carmen Cowles,Skipper,25,0.310250907865496,0.0985345688067866,3.14865038354059,0.0016402630327755
48,Spencer Cartwright,Skipper,22,0.29586559081601,0.125590164320853,2.35580224308127,0.0184827543171263
650,CJ Mckenna,Skipper,22,0.294355190369774,0.242141214271743,1.2156344026566,0.224124222791583
1076,Stephan Baker,Skipper,26,0.292121670366612,0.118824771355339,2.45842400565652,0.0139548307379103
139,Eli Burnes,Skipper,22,0.286381124935822,0.1657783368114,1.72749425795982,0.0840789355324172
1133,Carlos de Castro,Skipper,26,0.282841752922715,0.109171948869314,2.59079146110413,0.0095755497661526
166,Mia Nicolosi,Skipper,25,0.279094198919895,0.106682520366408,2.6161192851587,0.0088935481872501
119,Cameron Giblin,Skipper,23,0.250200141872719,0.120609267962323,2.074468621689,0.0380358100090108
84,Jack Murphy,Skipper,22,0.239163122194478,0.129872878317225,1.84151706879324,0.0655458216053077
105,Michelle Lahrkamp,Skipper,23,0.236111544543138,0.105639281800177,2.23507336020853,0.0254125329752282
652,Wiley Rogers,Skipper,22,0.232809143478258,0.1534191225816,1.51747148308994,0.129147688047496
656,Leo Boucher,Skipper,22,0.225970343074485,0.119444327865107,1.89184657918358,0.0585114251510972
134,Colman Schofield,Skipper,25,0.212961398734774,0.0983193813278499,2.16601646449184,0.0303099288182244
125,Scott Mais,Skipper,23,0.192660463044605,0.12672669493556,1.52028318218646,0.128439818980935
112,Mariner Fagan,Skipper,24,0.188525008431525,0.105735405711727,1.78298846221399,0.0745881815026718
2006,Alexander Gonzalez,Skipper,24,0.173319699135971,0.461901848373087,0.375230581445904,0.707488988299455
62,Paris Henken,Skipper,22,0.153355903839013,0.205157649834317,0.747502732473597,0.454760154026335
83,Tucker Weed,Skipper,22,0.130333793808761,0.332175193568879,0.392364620634246,0.694788823136413
127,Emma Cowles,Skipper,25,0.123334109639226,0.101780319413037,1.21176775972495,0.22560129288033
1170,Guthrie Braun,Skipper,26,0.118683667736828,0.128525202183337,0.923427201207815,0.355784621780082
660,Cameron Feves,Skipper,22,0.10534585297248,0.15039996837254,0.700437999505018,0.483653812246831
113,Michael Ehnot,Skipper,22,0.103387427681492,0.152285362857429,0.678905876057733,0.497197502310366
1847,Reade Decker,Skipper,27,0.0952778562830079,0.160660406551365,0.593038809798768,0.553155179570506
7,Aidan Hoogland,Skipper,24,0.0882541351123367,0.103524967757395,0.852491307402821,0.393941461574692
499,Sophia Reineke,Skipper,22,0.0840480401452783,0.147213010072451,0.570928072891888,0.568048400483248
228,Benton Amthor,Skipper,23,0.066508394259436,0.113581918959989,0.585554416305159,0.55817498844322
1075,Mitchell Callahan,Skipper,26,0.0614246000388199,0.11335523707916,0.541877037369918,0.587903216459109
60,Jack DeNatale,Skipper,22,0.0591970598847869,0.129592788100243,0.456792856705857,0.647819940638444
35,Hannah Freeman,Skipper,24,0.0571568382750891,0.127566864249002,0.448053956735368,0.65411425640872
128,Henry Burnes,Skipper,22,0.052260857676016,0.14675819437878,0.356101803359148,0.721764326753976
229,Owen Hennessey,Skipper,25,0.032586655988522,0.0996359435782253,0.327057232743902,0.7436245978408
664,Thomas Whittemore,Skipper,22,0.0324085682317834,0.251317398799375,0.128954733681829,0.897393466962758
81,Olivia Belda,Skipper,22,0.0265945069889804,0.122616953541179,0.216890945509008,0.828293334093655
121,Lewis Cooper,Skipper,21,0.0176287328128999,0.303105292393541,0.0581604256187365,0.953620843115954
1,Cameron Wood,Skipper,22,0.0,,,
251,Jordan Bruce,Skipper,24,-0.0031671592151656,0.105744117841225,-0.0299511621055001,0.97610600267109
822,Joseph Hou,Skipper,22,-0.0054200327285378,0.204637161513279,-0.0264860628854362,0.97886964990683
2385,Christian Ebbin,Skipper,28,-0.0094132036282534,0.232005709370191,-0.0405731550909106,0.967636185662328
399,Alden Grimes,Skipper,21,-0.0239128277974596,0.178228685019127,-0.134169355482219,0.893268657563441
349,Kerem Erkmen,Skipper,25,-0.0270419154233839,0.0955573525532749,-0.28299146743635,0.7771833777751
587,Bridget Green,Skipper,25,-0.0608742244951737,0.102036286940008,-0.596593881654715,0.550778557122664
57,Robert Hunter,Skipper,22,-0.0661254946078995,0.143121814675483,-0.462022471960922,0.644065205460026
1178,Peter Busch,Skipper,26,-0.0716821668098311,0.122219706115437,-0.586502529650392,0.557537862088613
1054,Kyle Pfrang,Skipper,26,-0.0968198854636657,0.111928794337893,-0.865013208052467,0.387031539398509
381,Thomas Hall,Skipper,25,-0.0968335932038835,0.101783765216387,-0.951365799821021,0.341418715238029
114,Marcus Huttunen,Skipper,24,-0.0970298019815148,0.246355275448729,-0.393861271307374,0.693683464985172
223,William Michels,Skipper,25,-0.101046827728904,0.105232946962815,-0.960220450393832,0.336944276485871
54,Colleen O'Brien,Skipper,24,-0.107633582733037,0.0974311117325701,-1.10471471400707,0.269283225642471
38,Daniel Unangst,Skipper,24,-0.113473972548177,0.104423902199958,-1.086666655407,0.277184155475049
175,Nicholas Reeser,Skipper,25,-0.120898744442828,0.108084179341046,-1.11856096960636,0.263327482267914
102,Ansgar Jordan,Skipper,22,-0.130676935719772,0.125238166859286,-1.04342740713058,0.296750385554837
122,Matt Logue,Skipper,22,-0.13427021282208,0.159194876159058,-0.843433005267862,0.398986319428081
400,Thomas Whittemore,Skipper,23,-0.141234078025719,0.11483675683347,-1.22986822268526,0.218746455611931
1050,Hallie Schiffman,Skipper,23,-0.144864497720807,0.613493078820258,-0.236130614544797,0.813331318559125
1148,Ben Mueller,Skipper,26,-0.148032141731115,0.104273218995401,-1.41965639075211,0.155707739822216
107,Ciara Rodriguez-Horan,Skipper,22,-0.163557236006902,0.115131340248525,-1.42061436663417,0.155428899570964
988,Michael Kirkman,Skipper,25,-0.169662080929033,0.108814537456281,-1.55918579350852,0.118952412288599
145,Tyler Mowry,Skipper,23,-0.170489347725942,0.104749154063476,-1.62759641593505,0.103610489594818
1203,Hayden Earl,Skipper,25,-0.174975774200906,0.168077525609035,-1.04104206417173,0.297856026223906
1278,Noah Zittrer,Skipper,26,-0.181649836452132,0.120200184883477,-1.51122759609917,0.130730473734638
1750,Robby Meek,Skipper,27,-0.187552910548362,0.133185177857092,-1.40821158604906,0.159068426522431
1817,Hamilton Barclay,Skipper,27,-0.192465881527293,0.164730631337635,-1.16836729128301,0.242658642727468
19,Chris Kiener,Skipper,21,-0.196061214400531,1.52034254517263,-0.128958579119595,0.897390424153498
93,Marian Frances Williams,Skipper,21,-0.200093951687326,0.299667312525717,-0.667720312905849,0.504312141211534
592,Lilly Myers,Skipper,23,-0.218278899599196,0.16606986490445,-1.3143799431931,0.18871837659355
3,Aidan naughton,Skipper,22,-0.218844859950312,0.120386427136717,-1.81785326764271,0.0690865625752191
2210,Yumi Yoshiyasu,Skipper,24,-0.220204659364664,0.889447559046558,-0.247574640151593,0.804463534190992
56,Michaela O'Brien,Skipper,24,-0.221813310802905,0.108626216223526,-2.0419869025583,0.0411528305409315
1324,Chapman Petersen,Skipper,26,-0.223285061361408,0.221725223575721,-1.0070350037787,0.313917953282056
475,Thomas McCann,Skipper,22,-0.2311529272857,0.454925821685813,-0.508111248618773,0.611375327060128
32,Samuel Merson,Skipper,22,-0.233278684148226,0.125766023425463,-1.85486252800608,0.0636158602063419
187,Dylan Ascencios,Skipper,24,-0.238397892897363,0.12069725477005,-1.97517245401772,0.048248580774407
483,Mateo Di Blasi,Skipper,25,-0.240637575503587,0.13532368904035,-1.77823688675702,0.0753649570658747
2492,Pierce Brindley,Skipper,28,-0.24308845443286,0.415432971542449,-0.585144827408146,0.558450339132589
1691,Ryan Satterberg,Skipper,27,-0.248310980083292,0.130731534434785,-1.89939620273608,0.0575124023945328
1815,Lucas Woodworth,Skipper,27,-0.250049127945741,0.18428021551375,-1.35689622051198,0.174814187929953
1747,Morgan Pinckney,Skipper,27,-0.252327916642346,0.129778181233764,-1.94430153238039,0.0518590999813361
707,Anthony Minder,Skipper,24,-0.25532094176135,0.364986810873528,-0.699534706885126,0.484217930972949
397,Christopher Lukens,Skipper,23,-0.257642696431085,0.114315151779807,-2.25379306609639,0.0242091892338573
575,Justin Lim,Skipper,23,-0.259457712257565,0.161812475531678,-1.60344689990712,0.108836023588384
18,Telmo Basterra,Skipper,21,-0.269279202206472,0.268122129322657,-1.00431546954643,0.315226579551288
482,Edward Cook,Skipper,23,-0.271126511329701,0.15823722277889,-1.71341803507607,0.0866356606941729
210,James Paul,Skipper,23,-0.275087979447468,0.121858288730314,-2.25744167519263,0.023980490089924
1120,Enzo Menditto,Skipper,26,-0.279694351344656,0.141394095369359,-1.97811903399516,0.0479152797871061
1279,Benjamin Dufour,Skipper,26,-0.284216962660135,0.115251110494338,-2.46606702044834,0.0136605771624912
415,Mateo Farina,Skipper,25,-0.290101540618727,0.142295540215527,-2.03872545955641,0.041477435324408
477,Diego Escobar,Skipper,25,-0.299803617315332,0.131865731707483,-2.27355214606009,0.0229929274626076
31,Nathan Olmsted,Skipper,23,-0.300424102292884,0.181197069685863,-1.65799647209374,0.0973181784508906
140,Emma Kaneti,Skipper,22,-0.317163171332558,0.130733726636954,-2.42602409868814,0.0152652565875996
2194,Peter Barnard,Skipper,27,-0.31887721268263,0.215144674455261,-1.48215247944211,0.138299727618793
989,Chip Kreuzkamp,Skipper,24,-0.321179785563981,0.512857694421495,-0.62625517576815,0.531147581966624
382,Jonas Nelle,Skipper,22,-0.322924868445809,0.184285140635871,-1.75231094233407,0.0797203555086846
391,Walter Henry,Skipper,23,-0.324077101060735,0.117642713840733,-2.75475709867997,0.005873572299999
2126,Grayson Tella,Skipper,26,-0.324657276169498,0.949451607864405,-0.341941888854922,0.732394624868989
1084,Jack Redmond,Skipper,26,-0.326198738540768,0.123705618249183,-2.63689509949095,0.008366870096986
576,Porter Kavle,Skipper,22,-0.333667195033642,0.132949029785169,-2.50973772108613,0.0120820862561966
366,Trevor Davis,Skipper,24,-0.339363587334998,0.103218717692167,-3.28781053400698,0.0010096976609381
367,Sam Bonauto,Skipper,25,-0.343047490049362,0.105541070122031,-3.25036963954141,0.0011525509526842
969,John (Jack) Plavan,Skipper,23,-0.347721275626289,0.257538127009316,-1.35017397099308,0.176960185334208
887,Samuel Patton,Skipper,22,-0.349092012446583,0.215624342378365,-1.61898238666401,0.105451052859772
1053,Oliver Stokke,Skipper,26,-0.352819448925594,0.111884374799195,-3.15342915003832,0.0016136439308671
241,Payton Thompson,Skipper,23,-0.354902401324273,0.15603253565888,-2.27454101047338,0.022933478265083
659,Brandon Geller,Skipper,23,-0.36030779299153,0.164719336808702,-2.18740434470044,0.028713019291264
396,CJ Mckenna,Skipper,23,-0.366184694346853,0.121938343305493,-3.0030315684169,0.002673047022673
51,Alex Fasolo,Skipper,22,-0.375605340554314,0.132454747439388,-2.83572576910611,0.0045721686341906
1692,Blake Behrens,Skipper,27,-0.378117962709955,0.130873997199883,-2.88917562541059,0.0038625328147395
2351,Charles Gish,Skipper,28,-0.381414890575187,0.324709161732671,-1.17463544465432,0.240140596428681
333,Piper Holthus,Skipper,25,-0.38669878545737,0.103886831208525,-3.72230802459626,0.0001974099914019
94,Stephanie Houck,Skipper,21,-0.396453336549386,0.175065534201829,-2.26459958755972,0.0235372622598273
502,Nicholas Davies,Skipper,24,-0.398486239057907,0.177599027121009,-2.24374111456361,0.0248490631116553
708,Matthew Priebe,Skipper,22,-0.401768417023777,0.278790721379032,-1.44111114974142,0.149553284093487
88,Caroline Bayless,Skipper,23,-0.409772806226398,0.11197412574361,-3.65953119531083,0.0002526770834992
1814,Kelly Holthus,Skipper,27,-0.41531196978046,0.166142184901466,-2.49973822137207,0.0124285107239595
1218,Peter Foley III,Skipper,26,-0.420207258389881,0.382203511128051,-1.09943327613518,0.271579122916758
259,Javier Garcon,Skipper,25,-0.42218622071695,0.127148478820633,-3.32041896712365,0.0008988244797345
1229,Sophie Fisher,Skipper,26,-0.422503238760581,0.146837621241142,-2.87735006321528,0.0040103043942666
412,Grant Gridley,Skipper,22,-0.427842970204488,0.169263263229052,-2.52767766639072,0.0114819713359988
331,Noyl Odom,Skipper,23,-0.430105959336648,0.145108041160127,-2.96403945569099,0.0030362935352758
72,Scott Harris,Skipper,22,-0.430678307840822,0.124189580071538,-3.46791017082702,0.0005245225918715
9,Ben Rosenberg,Skipper,23,-0.431099539280204,0.153892214775639,-2.80130830470345,0.0050895869113954
2,Michael O'Flaherty,Skipper,21,-0.434224731104434,0.252453141220319,-1.72002110572069,0.0854286051819065
658,Walter Henry,Skipper,22,-0.437113332189891,0.480844574236002,-0.909053269207428,0.363322008021418
330,Ryan Janov,Skipper,22,-0.442744662071936,0.359039395631219,-1.23313671830791,0.217524760250381
665,Thad Lettsome,Skipper,24,-0.446588753748546,0.142866316020863,-3.12592055417269,0.0017724942903472
383,Nathan Sih,Skipper,25,-0.45041707062868,0.121713366032211,-3.70063769750217,0.0002150583429933
133,Sarah Burn,Skipper,24,-0.453845679886022,0.103532632435378,-4.38360031238748,1.1673385920837e-05
2294,Charlie Allen,Skipper,28,-0.454486028419827,0.663209299886547,-0.685282954412091,0.493165385908428
2261,Dorothy Mendelblatt,Skipper,28,-0.454899251213873,0.174049385344375,-2.61362170463174,0.0089588169831898
45,Emily Bornarth,Skipper,24,-0.455653008512512,0.099706976885423,-4.56992101000234,4.87908076823032e-06
1059,Caroline Sibilly,Skipper,26,-0.457035339456675,0.11218527334135,-4.07393346599103,4.62256926156469e-05
577,Max Anker,Skipper,24,-0.460967293183562,0.154389045778878,-2.98575129380472,0.0028288260753427
12,John Walton,Skipper,22,-0.462572925957531,0.157661157687158,-2.93396885284452,0.0033465778970555
91,Hunter Zonnenberg,Skipper,23,-0.46384669863434,0.138834126485131,-3.34101355608714,0.0008347314730983
250,Rayne Duff,Skipper,25,-0.464860604195126,0.11265771421468,-4.12630956908365,3.68630979288283e-05
42,Berta Puig,Skipper,24,-0.473240908647136,0.182382479510968,-2.59477176709113,0.0094653749709198
240,Megan Grimes,Skipper,24,-0.479638266247861,0.133619953242028,-3.58957067870757,0.0003312230183431
486,Taft Buckley,Skipper,25,-0.491077731276996,0.219570294474631,-2.23653993110501,0.0253164246869556
161,Brielle Willoughby,Skipper,24,-0.496379136364101,0.112458506662285,-4.41388696236861,1.01530986368506e-05
