"","Estimate","Std. Error","z value","Pr(>|z|)"
"1",0,NA,NA,NA
"2",-0.434224731104434,0.252453141220319,-1.72002110572069,0.0854286051819065
"3",-0.218844859950312,0.120386427136717,-1.81785326764271,0.0690865625752191
"4",-0.626776362897984,0.150831905088946,-4.1554627486033,3.24629835503666e-05
"5",-1.1952365758645,0.141066984276028,-8.47282999632121,2.39501992913553e-17
"6",-0.638939809227878,0.140161581107065,-4.55859447489974,5.14970981653133e-06
"7",0.0882541351123367,0.103524967757395,0.852491307402821,0.393941461574692
"8",-1.04624713200113,0.110942315818532,-9.4305506810627,4.0794155349038e-21
"9",-0.431099539280204,0.153892214775639,-2.80130830470345,0.00508958691139544
"10",-1.3352812130173,0.13476457001081,-9.90825120363748,3.83296300307504e-23
"11",-0.643210449259284,0.217367417395968,-2.95909321169133,0.00308545759061903
"12",-0.462572925957531,0.157661157687158,-2.93396885284452,0.00334657789705558
"13",-1.66931874294933,0.137598878161466,-12.1317758200794,7.16779975878143e-34
"14",-0.596717611762255,0.127364512132418,-4.6851167705323,2.79800366373425e-06
"15",-0.866303207225345,0.231470103050091,-3.74261382273577,0.000182115996392401
"16",-1.11527823456768,0.164718120000208,-6.77082906583849,1.28046488575751e-11
"17",1.1681969180207,0.271089714004178,4.30926316150341,1.63799366329316e-05
"18",-0.269279202206472,0.268122129322657,-1.00431546954643,0.315226579551288
"19",-0.196061214400531,1.52034254517263,-0.128958579119595,0.897390424153498
"20",-0.6202915730057,1.45664102222831,-0.425836951960067,0.6702266589412
"21",-0.998878204805077,0.125248278300195,-7.97518511520745,1.52152597053679e-15
"22",-1.00428766079014,0.236377213201594,-4.24866528878839,2.15047946807469e-05
"23",-0.906658227802884,0.135135945201156,-6.70923066733491,1.95653179958269e-11
"24",-1.25749120742394,0.292645387951464,-4.29697941329763,1.73141268068972e-05
"25",-2.07730162901029,1.23520870979539,-1.68174140332479,0.0926189956927189
"26",-1.56561542590824,0.108008233250241,-14.4953340944011,1.29669923953924e-47
"27",-1.59559768292739,0.195905700010643,-8.14472311341992,3.80150793493384e-16
"30",-0.897717312252402,0.106774559192208,-8.40759558310511,4.1850127578072e-17
"31",-0.300424102292884,0.181197069685863,-1.65799647209374,0.0973181784508906
"32",-0.233278684148226,0.125766023425463,-1.85486252800608,0.0636158602063419
"33",-1.6500373395774,0.41155315611654,-4.0092933684371,6.09007175872301e-05
"34",-1.50200159522147,0.206886183846589,-7.26003818764061,3.86981055658313e-13
"35",0.0571568382750891,0.127566864249002,0.448053956735368,0.65411425640872
"36",-0.995397633982429,0.288637094687088,-3.44861298947573,0.000563473669059734
"37",-1.10375975480487,0.111860079752829,-9.86732494062041,5.76823872193956e-23
"38",-0.113473972548177,0.104423902199958,-1.086666655407,0.277184155475049
"39",-0.505153337227062,0.205668529405628,-2.45615281388421,0.0140433425973822
"40",-0.922554503456821,0.181951041979308,-5.07034471152815,3.97095808634266e-07
"41",0.682855908764522,0.221895929861663,3.07737014009332,0.00208835808736101
"42",-0.473240908647136,0.182382479510968,-2.59477176709113,0.00946537497091984
"43",-1.06714734162708,0.128646018488335,-8.29522245745868,1.08382189159316e-16
"44",0.438458533605442,0.266260957779262,1.64672484190843,0.0996146157058669
"45",-0.455653008512512,0.099706976885423,-4.56992101000234,4.87908076823032e-06
"46",0.72899554168378,0.226767323385913,3.21472922464748,0.00130567621507041
"47",-0.739802134134558,0.115754325129157,-6.39114031643395,1.64653200167964e-10
"48",0.29586559081601,0.125590164320853,2.35580224308127,0.0184827543171263
"49",-0.723268595850153,0.256419345011434,-2.82064754442728,0.00479268280709713
"50",-2.09864500825453,0.138331064120728,-15.1711766376853,5.4884030879204e-52
"51",-0.375605340554314,0.132454747439388,-2.83572576910611,0.00457216863419069
"52",-0.557069759289391,1.37817523230843,-0.404208221298756,0.686059608653743
"53",-1.90086252152267,0.259688379765631,-7.31978274591339,2.48372730852667e-13
"54",-0.107633582733037,0.0974311117325701,-1.10471471400707,0.269283225642471
"55",-2.18858835135967,0.419794817695212,-5.21347157970082,1.85338936554316e-07
"56",-0.221813310802905,0.108626216223526,-2.0419869025583,0.0411528305409315
"57",-0.0661254946078995,0.143121814675483,-0.462022471960922,0.644065205460026
"58",-2.08437063823869,0.166644352989723,-12.5078984126587,6.75888183185951e-36
"59",-1.80623610349992,0.126301659173823,-14.3009689287936,2.15784126042116e-46
"60",0.0591970598847869,0.129592788100243,0.456792856705857,0.647819940638444
