"","Estimate","Std. Error","z value","Pr(>|z|)"
"0",0.367486297946601,0.393127133670381,0.934777242454908,0.349903110072847
"1",0,NA,NA,NA
"2",0.274054551374041,0.200827126569339,1.36462915172676,0.172369637541122
"3",-1.53195253246043,0.268204777932221,-5.71187636652607,1.11737255190007e-08
"4",-0.21412011751744,0.227464734008903,-0.94133325084608,0.346534108099123
"5",-0.809839555282917,0.207958950933112,-3.89422793127761,9.85119883174687e-05
"6",-0.689624773412786,0.231727036090819,-2.97602206909731,0.0029201384700391
"7",-0.761257026730376,0.187889158734855,-4.0516282677312,5.0862429740264e-05
"8",-2.59243758421726,0.526450778690972,-4.92436841040182,8.46332574110277e-07
"9",-2.60505977667306,0.679620843612306,-3.83310753511723,0.000126534606047797
"10",-2.57298073191419,0.501239697682713,-5.13323414687498,2.84805224673448e-07
"11",-2.26419715129408,0.288858019813755,-7.83844309655638,4.56166857676052e-15
"12",-3.58099283312592,0.579136484849952,-6.18333143706826,6.27627465419364e-10
"13",-2.7256506228037,0.694452934780736,-3.92488891081479,8.67697709082028e-05
"14",-2.15161380122014,0.624368794409744,-3.44606236007391,0.000568819080444041
"15",-0.723026619434071,1.12303644888805,-0.64381402771919,0.519696036269786
"16",0.0971677632084025,0.359595169083157,0.270214317550891,0.786995378456563
"17",-0.283912297306748,0.324522365019264,-0.874862036981319,0.381648977293572
"18",-2.07842447721453,0.321775667634334,-6.45923444894054,1.05233971672189e-10
"19",-0.397676614772811,0.428993588837628,-0.926998969495859,0.353927069326331
"20",-0.543065782894728,0.193604816989858,-2.80502206163175,0.00503131359122786
"21",-1.19522572540872,0.288834655810391,-4.13809666314191,3.50198837295936e-05
"22",-1.71202622288856,0.369037213917665,-4.6391695967836,3.49811903748865e-06
"23",-2.61132708765005,0.622610542253434,-4.19415816217758,2.73886837774087e-05
"24",-4.01625674708063,0.633137107688026,-6.34342340436569,2.24714721835484e-10
"25",-3.28795671305968,0.551510699759925,-5.96172787670474,2.49584544773701e-09
"26",-1.243995564859,0.201780372314763,-6.16509698435115,7.04399538789694e-10
"27",-3.27473819312896,0.652189434565083,-5.02114572787083,5.136417017512e-07
"28",-2.74342666930621,0.28960722998178,-9.47292189314062,2.72123129651001e-21
"29",-4.18389924287238,0.809463910411204,-5.16872857339245,2.35691905434389e-07
"30",-4.69447264581232,0.835716977765643,-5.61729960107233,1.93964932308128e-08
"31",-5.31237488571569,0.908926794438167,-5.84466748942022,5.07581113432316e-09
"32",-0.663333271447579,0.26801792862801,-2.47495857774589,0.0133251629575492
"33",-0.738714901298128,0.476028002897844,-1.55183076794047,0.120702721862713
"35",-1.75672240899643,0.283543910693709,-6.19559208553798,5.80663315949937e-10
"36",-0.701837547156207,0.194898730421445,-3.60103703927968,0.000316950413975607
"37",-0.596962594256726,0.236586396114535,-2.52323296715559,0.0116281337280102
"38",-0.905884926193817,0.392546833795133,-2.30771171285664,0.0210151761815578
"39",-0.967991845646505,0.460808856735999,-2.10063637340433,0.0356728985367129
"40",-2.68119788186493,0.57329166758787,-4.67684781316654,2.9131829124945e-06
"41",-1.00533512654502,0.452351063287299,-2.22246659317899,0.0262517892644873
"42",-1.69368140226411,0.484377528628033,-3.49661431871406,0.000471202548296312
"43",-1.65160419713512,0.298529735808809,-5.53246125603006,3.157682061335e-08
"44",-1.78263811320786,0.90047253896859,-1.97966960241754,0.0477406663770391
"45",0.650655755072037,0.5412751744729,1.20207943345204,0.229332753832197
"46",-2.20521739983997,0.498671992537322,-4.42218017623063,9.77099207071202e-06
"47",-1.77953386545205,0.202817028187326,-8.77408510200845,1.722988971543e-18
"48",-1.47785383317427,0.265244106507131,-5.57167453269895,2.52302432296484e-08
"49",-0.673747496077818,0.248299229377179,-2.71344980718552,0.00665866546808684
"50",-1.18871832252221,0.264573714046135,-4.49295700749366,7.02409691422012e-06
"51",-1.84416969202102,0.628923087403762,-2.93226585087515,0.00336498559057581
"52",-2.06914908426601,0.505878383670823,-4.09021051512731,4.30981829667614e-05
"53",-1.17851291145299,0.306820447435651,-3.84105075558942,0.000122508778008828
"54",-2.42002936029761,0.499321736703656,-4.84663330756194,1.25574220022805e-06
"55",-2.83719398745138,0.503799121366363,-5.63159772838938,1.78547753227248e-08
"56",-3.47956654400065,0.606003137287081,-5.74182925781171,9.36592341649179e-09
"57",-0.775284296988057,0.31989662442562,-2.42354635151307,0.0153697917221607
"59",-1.40049336678855,0.201554386123625,-6.94846385495944,3.69285087856635e-12
"60",-0.931336244348927,0.20921811998939,-4.45150852323957,8.52691477968842e-06
"61",-0.997483380455765,0.200124700353981,-4.98430917668542,6.21835800692516e-07
"62",-1.72968914153593,0.298313316795421,-5.79822972744499,6.70186045274343e-09
"63",-1.12305966423897,0.207496156708404,-5.41243597980092,6.21730864097863e-08
"64",-1.8034617868766,0.209739063761366,-8.59859748839404,8.06961717884465e-18
"65",-2.14956639099729,0.282951398675851,-7.5969456276123,3.03201852902299e-14
"66",-1.60771004115269,0.202139679363631,-7.9534609247132,1.81372003370792e-15
"67",-2.26381230569499,0.254931405123747,-8.88008405475231,6.68098584947915e-19
"68",-2.39143860275512,0.214460157642026,-11.1509691545917,7.08306561220108e-29
"69",-2.57880107892915,0.32009613624429,-8.05633304164932,7.86172514457039e-16
"70",-2.10411341805894,0.277382978808729,-7.58558952353686,3.30978699496399e-14
"71",-1.16868883321206,0.799107686687917,-1.46249229319262,0.143606354724807
"72",-3.42144136987725,0.631709705228607,-5.41616084343531,6.08923283048303e-08
