id,name,year
221,Chloe Hudgins,Skipper,24
222,Avery Canavan,Skipper,25
223,Annabelle O'Bryan,Crew,24
224,Cho-Cho Williams,Skipper,26
225,Emily Shioutakon,Skipper,26
226,Elizabeth Gildea,Skipper,24
227,Allison Volk,Crew,25
228,Elizabeth Cutler,Skipper,24
229,Ashley Abboud,Crew,26
230,Grace Watlington,Skipper,26
231,Gail Schneider,Crew,25
232,Luciana Solorzano,Skipper,24
233,Hannah Cronin,Crew,27
234,Samantha Jensen,Crew,24
235,Lilly Ladd,Crew,26
236,Alessandra Torres,Crew,24
237,Gianna Dewey,Skipper,27
238,Ella Hubbard,Skipper,26
239,Lily Flack,Crew,25
240,Lucy Jervis,Crew,27
241,Avery Slayton,Crew,27
242,Marina Dryer,Crew,26
243,Catherine Anderson,Crew,26
244,molly hanson,Crew,27
245,Meredith Broadus,Skipper,25
246,Emma Tallman,Skipper,25
247,Clara Murphy,Crew,27
248,Lucy Spearman,Skipper,25
249,Ella May Corckran,Crew,26
250,Lina Carper,Skipper,27
251,Lillian Newman,Crew,25
252,Maya Conway,Skipper,26
253,Clara Hewson,Crew,24
254,Emma Friedauer,Skipper,26
255,Morgan Auth,Crew,27
256,Maddy Saffer,Crew,24
257,Haley Andreasen,Skipper,25
258,Adelaide Straub,Skipper,24
259,Lucia Loosbrock,Skipper,25
260,Lucinda Harley,Crew,27
261,Morgan Rice,Crew,25
262,Margot Gordon,Skipper,26
263,Arrieta Angueira Salbidegoitia,Skipper,26
264,Ella Adelman,Crew,26
265,Katherine Simcoe,Skipper,26
266,Rachel Ward,Skipper,27
267,Laura Smith,Skipper,26
268,Ellie McFall,Crew,24
269,Lizzie Cochran,Skipper,27
270,Leah Spadaro,Crew,25
271,Isa Arrigo,Crew,27
272,Audrey Permenter,Crew,27
273,Maisie MacGillivray,Skipper,25
274,lilah parker,Crew,26
275,Rowan Schanley,Crew,24
276,Mira Herlihy,Skipper,27
277,Alexa Shea,Skipper,26
278,Adelia DeRose,Crew,26
279,Sam Ingalls,Skipper,24
280,Miles Silverman,Crew,27
281,Grant Adam,Skipper,23
282,Samuel Rooks,Skipper,27
283,Jake Carlson,Crew,25
284,Fritz Baldauf,Crew,24
285,Madeline Synnestvedt,Crew,27
286,John Cabell,Skipper,26
287,Lachlan Hooper,Crew,25
288,Mikhail Lavrenov,Skipper,26
289,Brendan Chinn,Crew,26
290,Greta Shuster,Skipper,25
291,Sawyer Obrien,Crew,27
292,Izzy Wu-Karr,Skipper,26
293,Sophia Rey,Crew,26
294,Annie McGarry,Crew,27
295,Cecilia Roe,Skipper,26
296,Viola Henry,Skipper,26
297,Matias Martin,Skipper,27
298,Alejandro Amezcua,Crew,25
299,Lucian Sharpe,Crew,24
300,Lilly Saffer,Skipper,27
301,Aurora Kreyche,Crew,25
302,Tyler Meadows,Crew,25
303,Lorelei Duarte,Crew,28
304,Charles Case,Crew,26
305,Pierre Offredi,Skipper,26
306,Tristan Stevens,Crew,25
307,Izzy Pavano,Crew,28
308,Morgan Martucci,Crew,27
309,Nolan Wiggins,Skipper,27
310,Emma Schnippering,Crew,27
311,Richard Kalich,Skipper,26
312,Marguerite Bowen,Crew,27
313,Leo Silverman,Crew,27
314,Zachary Fournier,Crew,26
315,Zi Burns,Skipper,26
316,Angelina Khourisader,Crew,23
317,Conner Brandon,Crew,27
318,Fiona Froelich,Skipper,28
319,Dawson Kohl,Skipper,27
320,Priscilla Foster,Crew,27
321,Sierra Warnygora,Crew,27
322,Garrett Floerchinger,Crew,26
323,Jordan MacMoyle,Crew,25
324,Kallista Halatsis,Skipper,27
325,Carly Sweeney,Crew,25
326,Josh Rosen,Skipper,26
327,Paige Arneson,Crew,25
328,Nicole Hirt,Crew,25
329,Henry Campbell,Crew,25
330,Olivia Figley,Skipper,26
331,Sophia Gallo,Crew,25
332,Grayson Tella,Crew,26
333,Joshua Knowles,Crew,26
334,Ella Lansford,Skipper,27
335,Elizabeth Williamson,Crew,26
336,Zach O'connor,Skipper,27
337,Sarah Percy,Crew,26
338,Sam Frushone,Crew,27
339,Nora VanDerMeid,Crew,27
340,Tanner Cummings,Skipper,24
341,Emma Launsby,Skipper,25
342,Aubrey Holloway,Crew,24
343,Allen Gonzalez Barnes,Skipper,24
344,Molly O'Sullivan,Skipper,27
345,Ross Ellis,Crew,27
346,Timothy Hesse,Skipper,27
347,Aidan Kiergan,Crew,27
348,Jack Homa,Skipper,27
349,Sabrina Maas,Crew,27
350,Brian Zettlemoyer,Skipper,27
351,Jacob Millman,Crew,27
352,Emma Hershey,Crew,27
353,Emma Leidheiser,Crew,27
354,Lucas Rodenroth,Skipper,27
355,Hannah Monville,Crew,27
356,Emmalyn Holmquist,Skipper,26
357,Sailor Somerville,Crew,26
358,Henrik Stjernfeldt,Skipper,27
359,Kellyn Bucceri,Skipper,26
360,William O'Haver,Skipper,27
361,Natalie Scherf,Crew,27
362,Nolan Hammerschmidt,Skipper,27
363,Hailey Inmon,Crew,27
364,Henrique Oliveira,Skipper,27
365,Clare Corvera,Crew,27
366,Bridget Gallagher,Crew,27
367,Silas Hokanson,Skipper,26
368,Ted Sherman,Skipper,27
369,Gillian Reynolds,Crew,27
370,Joseph Opferman,Skipper,27
371,Alejandro Ceron,Crew,27
372,Caleb Prugh,Skipper,26
373,Drew Lyman,Crew,27
374,Michael Mignogna,Skipper,27
375,Dylan Jones,Crew,27
376,Katherine Sorbie,Crew,27
377,Cash Bilton,Crew,27
378,Charlotte McIlnay,Skipper,27
379,Molly Strabley-Temple,Crew,27
380,Gavin Holmes,Skipper,27
381,Jon Hurley,Crew,25
382,Stella Brown,Crew,27
383,Ava Bradd,Crew,26
384,Andoni Christou,Skipper,27
385,Kate Sorce,Crew,27
386,Anna Proulx,Crew,27
387,Andrew Beute,Skipper,27
388,Sofia David,Crew,27
389,John Manning,Skipper,24
390,Kyra Kleiman,Crew,27
391,Lucas Posthumus Meyjes,Crew,27
392,Natalie Cox,Crew,27
393,Sophie Fisher,Skipper,26
394,Margot Hutchins,Crew,25
395,Eric Anderson,Skipper,26
396,Amanda Turner,Crew,27
397,Aragorn Crozier,Skipper,24
398,Maya Outhred,Crew,24
399,Patrick Gardiner,Crew,26
400,Mary d’Arcy,Skipper,25
401,Faith Burton,Crew,26
402,Mira Shupe,Skipper,26
403,Christopher Hopkins,Skipper,25
404,Beverly Schimmel,Crew,25
405,Juan Casal,Skipper,27
406,Samantha George,Crew,27
407,Riley Benjaminson,Skipper,26
408,Lily Schweber,Crew,27
409,Tegan Smith,Skipper,24
410,Ellie Dickson,Crew,25
411,Sterling Maggard,Skipper,27
412,Adalia Jimenez,Crew,25
413,Brett Stein,Skipper,24
414,Brent Lin,Crew,24
415,Ines Huret,Crew,24
416,Marley Daniel,Skipper,27
417,Paige Karsten,Crew,26
418,Natalia Uribe,Crew,24
419,Lauren Taylor,Crew,24
420,Sammy Farkas,Skipper,27
421,Trey Summers,Skipper,24
422,Stella Taherian,Crew,27
423,Jack Baldwin,Skipper,26
424,Shay Wood,Crew,27
425,Brandon Stadtherr,Skipper,24
426,Seraphee de Labaca,Skipper,26
427,Nathan Gerber,Skipper,26
428,Kerry Wier,Crew,25
429,Jaden Unruh,Skipper,26
430,Jeffrey Kriegh,Crew,27
431,Sadie Hoberman,Skipper,25
432,Gillian Cate,Crew,25
433,Catherine Arcaris,Crew,26
434,Owen Gormely,Skipper,27
435,Ashley Ries,Crew,26
436,Colin Thompson,Crew,25
437,Andrew Down,Skipper,27
438,Christopher Moore,Crew,26
439,Elias Ricken,Crew,27
440,Ryan Giorgianni,Skipper,26
441,Nicholas Torres,Crew,25
442,Kurt Richards,Skipper,25
443,Kevin Gates,Crew,27
444,Cal Dunstan,Skipper,27
445,Macaela Wilton,Crew,27
446,Yuri Berebitsky,Crew,27
447,Zoe Flemate,Crew,25
448,Sofia Dorman,Crew,27
449,Jackson McKinley,Skipper,26
450,Anthony Torrez,Crew,25
451,Bridget Green,Skipper,25
452,Sophia Mulvania,Skipper,26
453,Torrey Chisari,Skipper,24
454,Kiki Bruzzi,Crew,25
455,Grace Phillips,Crew,27
456,Carly Mraz,Skipper,25
457,Virginia Cobbs,Crew,25
458,Cadence Goodnight,Skipper,26
459,Alexandra Lee,Crew,25
460,Eva Leggett,Crew,24
461,Kaitlyn Scarcella,Crew,27
462,Kennedy Jones,Skipper,24
463,Rachel Morgen,Crew,26
464,Sophia Devling,Skipper,26
465,Amelia Neumann,Crew,25
466,Rebecca Keller,Crew,25
467,Kristin Johnson,Crew,26
468,Kelly Bates,Crew,26
469,Madeleine Rice,Skipper,24
470,Eva Gonzalez-Whitehouse,Crew,26
471,Eva Wieting,Crew,26
472,Genevieve Mumma,Skipper,24
473,Evelyn Walsh,Skipper,26
474,Kate Feiner,Crew,26
475,Isabelle Gautier,Skipper,26
476,Ian Guzman,Crew,27
477,Laurel Krause,Crew,24
478,Nora Beebe,Skipper,26
479,Sofia Segalla,Skipper,25
480,Hannah Bast,Crew,25
481,Megan Geith,Crew,24
482,Olin Guck,Skipper,26
483,Ryan McGauley,Skipper,27
484,Kennedy Laureigh,Crew,26
485,Laura Hamilton,Skipper,27
486,Talia Levine,Crew,26
487,Tiare Sierra,Skipper,25
488,Rufus Burnes Heath,Crew,27
489,Michelangelo Vecchio,Crew,27
490,Posie Cabaniss,Crew,27
491,William Wiegand,Crew,25
492,Delanie Massenet,Crew,27
493,Ted Lutton,Skipper,24
494,Claudia Mabley,Crew,24
495,Adrian Winkelman,Crew,25
496,James O’Gwen,Skipper,27
497,Emily Marlas,Crew,26
498,Sidney Moyer,Skipper,27
499,Corinne Harrison,Crew,27
500,Max Sigel,Skipper,26
501,Nathan Selian,Skipper,25
502,Shea McGrath,Skipper,27
503,Alex Bloom,Crew,26
504,Arielle Candaele,Crew,26
505,Peter Ellis,Crew,27
506,Adam Oppenheimer,Crew,27
507,Joe Serpa,Skipper,24
508,Asha Baddi,Crew,24
509,Joseph Gallagher,Skipper,24
510,Jack O'Connor,Crew,26
511,Jake Weinstein,Skipper,27
512,Cora Star,Crew,26
513,Charlie Herrick,Skipper,26
514,Kerstin Hyer,Skipper,25
515,Odey Hariri,Skipper,24
516,Nok In Chan,Crew,24
517,Nick Myneni,Skipper,26
518,Andrew Michels,Skipper,25
519,Nithya Balachander,Skipper,25
520,Daniel de la Vega III,Skipper,25
521,Christian Ehrnrooth,Skipper,24
522,Natalie Manley,Crew,24
523,Jenna Kozal,Skipper,24
524,Eva Paschke,Crew,25
525,Greg Bittle,Skipper,25
526,Rakesh Dhiman,Skipper,26
527,Carly Irwin,Skipper,25
528,Gabriella Thomas,Crew,25
529,Delaynie Grove,Crew,24
530,Lily Lupardus,Crew,27
531,Joseph Thuente,Skipper,24
532,Carmela D’Antuono,Crew,24
533,Rachel Bartel,Skipper,24
534,Meriah Kirschstein,Crew,24
535,Grace Bray,Skipper,27
536,Maddie Fitzgerald,Crew,26
537,Cecilia Dietsch,Crew,26
538,Mary Castellini,Skipper,25
539,Carmen Lineer,Crew,26
540,Justin Skene,Skipper,24
541,Connor Chung,Skipper,26
542,Bryce Lesinski,Skipper,27
543,Angus Gilbreath,Crew,27
544,Elaina Kobal,Skipper,24
545,Max Zhalilo,Skipper,26
546,Yili Wen,Crew,27
547,Nina Gonzalez,Crew,27
548,Garrett Szlachta,Skipper,25
549,Bryce Koopman,Crew,24
550,Braden Vogel,Skipper,27
551,Gavin Dempsey,Skipper,26
552,Ellie Murphy,Crew,24
553,Sammy Stoeber,Crew,24
554,Hayden Flaskerud,Skipper,24
555,Claire Zhang,Crew,24
556,Sam Childers,Skipper,27
557,John Riordan,Crew,26
558,Zachary Gold,Crew,24
559,Noah Zittrer,Skipper,26
560,Lucy Klempen,Crew,24
561,Matthew King,Skipper,24
562,Katie Nelson,Skipper,24
563,Andrew Lam,Crew,26
564,Zechariah Frantz,Skipper,25
565,Brooks Jordan,Crew,24
566,Daniel Larson,Skipper,27
567,Alana Hantz,Crew,27
568,Benjamin Dufour,Skipper,26
569,Noelle Owen,Crew,24
570,Brady Parks,Skipper,25
571,Joseph Martinez,Crew,24
572,Sophie Leduc,Crew,26
573,Andrew Tollefson,Skipper,26
574,Camden Hom,Skipper,26
575,Kalea Woodard,Crew,24
576,Madisen Hamai,Crew,26
577,Lucy Paskoff,Skipper,24
578,Katherine Majette,Crew,27
579,Clifton Carragher,Crew,25
580,Elizabeth Amelotte,Skipper,24
581,Marina Garrido,Skipper,25
582,Reddin Kehrli,Crew,27
583,Ochithya Fernando,Crew,25
584,Ashley Breyer,Crew,24
585,Julia Shannon-Grillo,Skipper,24
586,Margaret Klein,Crew,26
587,Marina Dreyfuss,Skipper,27
588,Saleta Powell,Crew,25
589,Danielle Bogacheva,Crew,27
590,Morgan Contrino,Crew,24
591,Alana Shigekane,Crew,27
592,Nadia Reynolds,Skipper,25
593,Wyatt Tait,Skipper,27
594,Yuxin Mou,Crew,25
595,Emily Williams,Skipper,25
596,savannah conlin,Crew,25
597,Domenico Sacchetti,Skipper,27
598,Chris Li,Crew,25
599,Jack Rutherford,Skipper,25
600,Connor Bricco,Crew,26
601,Ian Knox,Skipper,24
602,Zander West,Skipper,26
603,Caden Meyers,Skipper,27
604,Sophia Worden,Crew,27
605,Avie Krauss,Skipper,24
606,Isabella Rybinski,Crew,26
607,Graham Parsons,Skipper,27
608,Austin Strykowski,Crew,27
609,Hadley Zeller,Crew,26
610,John Sullivan,Skipper,26
611,Spencer Margolis,Crew,26
612,Melissa Driscoll,Crew,24
613,Kayla Decker,Crew,27
614,Mason Shaw,Skipper,26
615,Edmund Redman,Skipper,26
616,Anna Olsen,Crew,27
617,Alexandra Avery,Skipper,26
618,Hazel Zielinski,Crew,27
619,Joey Skerbeck,Crew,27
620,Alexander Maas,Crew,24
621,Jacob Hsia,Skipper,26
622,Gavin Yao,Crew,25
623,Rose Cummins,Crew,24
624,Tiegan Witte,Skipper,24
625,Devin O'Connor,Crew,26
626,Mathis Destouches,Crew,25
627,Kai Redler,Crew,25
628,Arseniy Titov,Skipper,25
629,Ivan Shilov,Crew,25
630,Brandon Kem,Crew,24
631,Weston Rapp,Crew,27
632,Piper Luke,Skipper,26
633,Jilani Harrison,Crew,24
634,Jackson Settecase,Crew,25
635,Madison Sweet,Crew,27
636,Max Liu,Crew,26
637,Jillian Hickman,Crew,27
638,AUSTIN SJAARDA,Skipper,27
639,Suwan Yu,Crew,25
640,Adam Bryan,Skipper,26
641,Seth Kintner,Crew,27
642,Valerio Palamara,Skipper,24
643,Tyler Brown,Skipper,26
644,Jasper Waldman,Skipper,25
645,Kaitlyn Greppin,Crew,26
646,Jeremy Lunati,Skipper,27
647,Tyler Mendes,Crew,25
648,Anish Jayewardene,Skipper,24
649,Evan Kohut,Crew,26
650,Henry Haddon,Crew,25
651,Siena Adduci,Crew,27
652,Kayla Maguire,Skipper,25
653,Hayden Graff,Crew,27
654,Patrick Cashin,Skipper,24
655,Maddie Woolley,Crew,24
656,Austin Latimer,Skipper,27
657,Nora Ciak,Crew,27
658,Gerrit Bittmann,Skipper,24
659,Margaret Myers-Aldous,Crew,25
660,Nicholas Lorenzen,Skipper,27
661,Jonah Johnson,Crew,27
662,Julia Gordon,Skipper,27
663,Ella Kilgore,Crew,25
664,Charlotte Shaw,Skipper,26
665,meredith davies,Crew,26
666,Robert Finora,Skipper,27
667,Madison Monkevich,Skipper,27
668,Lucas Randle,Skipper,27
669,Maxwell MacEachern,Crew,26
670,Emma Kopp,Crew,25
671,Marlon Wool,Crew,26
672,Karolina Debniak,Skipper,26
673,Lars Osell,Crew,24
674,Maggie Dirkes,Crew,27
675,Joseph Arrigo,Crew,25
676,Berkley Yiu,Skipper,25
677,William Surringa,Crew,26
678,Eddie O’Keefe,Skipper,25
679,Tacy Guest,Crew,26
680,Bobby Stevens,Crew,25
681,Asia Warren,Crew,26
682,Elliott Chamberland,Crew,27
683,Stefano Palamara,Skipper,25
684,Tommaso Ciaglia,Crew,24
685,Mats Braaten,Skipper,27
686,Indiana Theurer,Crew,25
687,Noah Kuzloski,Crew,27
688,Nicholas Cunha,Crew,27
689,Sebastien Nordenson,Skipper,27
690,Nolani Lloyd,Crew,27
691,Patrick Tis,Skipper,27
692,Bracklinn Williams,Skipper,25
693,Victoria Davies,Crew,27
694,Gianmarco Costa,Skipper,26
695,Anthony Webster,Crew,25
696,Oscar Gilroy,Skipper,27
697,Caleb Scheaffer,Crew,27
698,Rose von Eckartsberg,Skipper,25
699,Ernest Glukhov,Crew,27
700,Julia Priebke,Skipper,25
701,Ashley Franklin,Skipper,27
702,James Mercer,Crew,27
703,Nathaniel Adams,Crew,26
704,Chris Bahr,Crew,26
705,Sarah Ward,Skipper,24
706,Isabella Hughes,Skipper,24
707,Ralph Molinari,Skipper,24
708,Amelia Mignone,Skipper,25
709,Kate Faranetta,Skipper,24
710,Jack Ryan,Crew,24
711,George Wood,Crew,27
712,Reed McAllister,Skipper,27
713,Holly Sugrue,Crew,27
714,Advik Eswaran,Skipper,27
715,Tess Dakin,Crew,26
716,William Roberts,Skipper,26
717,Cole Crosby,Skipper,26
718,Nathan Haase,Crew,27
719,Avery Connor,Crew,27
720,Kristen McDonough,Skipper,25
721,Sam Randall,Skipper,26
722,Eilis Casey,Crew,24
723,Andrew Matin,Crew,24
724,Ryan Sylvester,Crew,26
725,Jeanette Herencia,Crew,26
726,Sierra Bell,Crew,27
727,Caroline Hurley,Skipper,25
728,Lucas Schadewitz,Crew,24
729,Hunter Wheaton,Skipper,27
730,Stella Doehring,Crew,25
731,Rowan Clinch,Skipper,27
732,Elliot Nopp,Crew,25
733,Quincy Spurlock,Skipper,25
734,Austin Victer,Skipper,25
735,Aidan Clark,Crew,24
736,Emily Avey,Skipper,25
737,Ryan Tuttle,Skipper,27
738,Una Meidav,Crew,27
739,Audrey Lillie,Skipper,26
740,Dylan Murphy,Crew,26
741,Kevin McGann,Crew,25
742,Brianne McKenna,Crew,28
743,Alexis Von Doersten,Skipper,27
744,Grace Lavigne,Crew,26
745,Haley (Mae) Lohf,Crew,26
746,Addie Belcher,Crew,25
747,Ardumus Burnette,Crew,27
748,Gabi Feleciano,Skipper,27
749,Ethan Wickman,Skipper,25
750,Sadie Creemer,Skipper,25
751,Allison Sasaki,Skipper,24
752,Julia Grams,Crew,24
753,Jack Beeson,Crew,26
754,Morgan Walden,Crew,26
755,Cassius Tossavainen,Skipper,26
756,Molly McLeod,Skipper,25
757,Joseph Qualtier,Crew,27
758,Dylan Zink,Skipper,27
759,Owen Wickman,Crew,27
760,Kate Ryan,Crew,25
761,ella notdurft,Crew,25
762,Noyl Odom,Skipper,24
763,Parker Younger,Crew,24
764,Peter Lobaugh,Skipper,24
765,Kristen Healy,Crew,24
766,Tyler Wood,Skipper,26
767,Will Priebe,Skipper,24
768,Zoe Grant,Crew,25
769,Spencer Barnes,Crew,24
770,Charlie Anderson,Skipper,25
771,Katherine Shermock,Crew,24
772,Ryan Potter,Skipper,24
773,Noah Robitshek,Skipper,25
774,Benjamin Luu,Crew,26
775,Ossian Kamal,Skipper,26
776,Alexander Jaber,Crew,25
777,Tryg van Wyk,Skipper,26
778,Wynne Williams,Crew,27
779,Jack Cariaso,Crew,25
780,Jedidiah Bechtel,Skipper,26
781,Joshua Dillon,Skipper,25
782,Lila Coffman,Crew,26
783,Pilar Cundey,Skipper,27
784,Boris Bialer,Skipper,26
785,Nicholas Thibodeau,Crew,26
786,Nathan Jensen,Skipper,27
787,Brooke Bertrand,Crew,25
788,Jacob Zils,Skipper,27
789,Bella Rabeni,Crew,24
790,Gavin Sanborn,Skipper,25
791,Milo Miller,Skipper,27
792,Emil Body-Goldberg,Crew,27
793,Marcus Adam,Crew,23
794,John Vail,Crew,24
795,Cooper Smith,Skipper,27
796,Sam Riley,Crew,27
797,Alex Boni,Crew,25
798,Jennifer Falkner,Skipper,24
799,Benjamin Conrad,Crew,26
800,Monika Torkos,Skipper,27
801,William Beckman,Crew,25
802,River Servia,Skipper,27
803,Gabe Lynch,Crew,26
804,Patrick Wu,Crew,24
805,Maggie Lennon,Skipper,26
806,Jacqueline Jollay,Crew,26
