"","coefs"
"2988",-2.22881715848476
"2989",-4.52279591893966
"2993",-4.02382988189041
"2995",-8.08070236286969
"2998",-1.65426812142155
"2999",-4.06485181426456
"3000",-3.29292452281359
"3001",-5.22005363005519
"3004",-0.758571770789047
"3006",-2.31833972993834
"3007",-5.52781470629358
"3008",-4.85203154293242
"3009",-6.48549775919147
"3012",-4.18446840280896
"3017",-4.04008999216012
"3019",-4.99497658452546
"3022",-6.33206617489122
"3026",-4.40521461404578
"3032",-3.04275604777749
"3033",-6.29778594036199
"3035",-5.31878546876703
"3036",-4.15002918101996
"3039",-8.30359752818822
"3040",-1.13346482300784
"3041",-4.11625532003436
"3044",-1.82368841840469
"3046",-1.43419802397656
"3047",-1.11177207839665
"3048",-2.39074100614533
"3049",-1.50935708828561
"3050",-3.236721293431
"3051",-2.2434759827826
"3054",-5.38226915099352
"3055",-2.20631759106615
"3056",-5.5020628887041
"3059",-3.84990419872551
"3061",-0.545167766146875
"3062",-2.36450395437612
"3064",-1.62485678904628
"3065",-3.95754335948848
"3068",-4.69789019943792
"3069",-3.2927159570564
"3071",-1.36232610843658
"3076",-5.02066047234786
"3078",-4.23656900700269
"3079",-1.8318368077008
"3080",-4.11551397726285
"3082",-2.47635015860877
"3083",-4.89219787359511
"3085",-6.93096798057346
"3087",-5.53948593892159
"3096",-5.78807090063728
"3098",-2.20147395775641
"3099",-2.05572801654105
"3101",-5.75270678847943
"3103",-2.76020018912638
"3105",-2.67083875806273
"3106",-1.16424728276925
"3108",-5.07454265002707
"3109",-1.75456570007782
"3110",-0.574431801649411
"3111",-2.40277786554404
"3113",-2.13207156462303
"3116",-7.25301337562254
"3118",-4.03443695342082
"3119",-3.25882192966492
"3120",-2.69353158375463
"3121",-0.209576534791495
"3125",-1.12491668774143
"3126",-0.738383948925105
"3127",-1.2470815458328
"3128",-1.78589860445035
"3129",-1.80709891965773
"3130",-1.4401006336056
"3131",-2.76785054277718
"3134",-3.0676798156417
"3135",-2.7632268436881
"3136",-5.46985601773926
"3137",-2.71340746858894
"3141",-4.26861764562449
"3142",-4.90867126310533
"3143",-1.09085610090932
"3144",-3.91155825841159
"3145",-1.44784231906746
"3146",-1.74054774947354
"3148",-2.44306668396803
"3149",-3.44321463842911
"3151",-5.94529503589158
"3152",-0.276467878549255
"3153",-0.753807307891606
"3154",-2.83247221872804
"3155",-1.716804127215
"3156",-0.888317732912242
"3157",-2.04247173558954
"3158",-2.69405562078992
"3159",-3.08655940050451
"3160",-3.52530605894094
"3161",-1.77978166965224
"3162",-3.31918583462888
"3163",-5.72759712931878
"3164",-6.16550615533691
"3165",-1.17628562276295
"3166",-1.5845715873939
"3167",-3.13259464089461
"3168",-2.02471482291196
"3169",-12.7342931403625
"3170",-1.42610287667392
"3171",-1.71046233347494
"3172",-2.53927480518374
"3173",-2.9140367569079
"3174",-6.62061495909296
"3175",-2.44314348157448
"3176",-2.90902152566204
"3177",-2.13978779160453
"3178",-0.61584433447365
"3179",-1.20245365877594
"3181",-2.60719067238796
"3183",-1.53474633680389
"3185",-4.55742408152696
"3186",-4.5142163358594
"3188",-5.72281894426922
"3189",-3.76937075644517
"3190",-3.02775344650556
"3191",-1.099914192109
"3192",-2.77919462253828
"3193",-1.58656990252291
"3194",-1.62456195813718
"3196",-5.03065177808031
"3197",-1.83093967045139
"3199",-1.02398201398807
"3201",-1.97060075155085
"3202",-5.57608390623184
"3204",-3.03614412129824
"3205",-1.25311324034146
"3206",-0.92473225055349
"3207",-1.23766191720452
"3208",-6.30328335362972
"3209",-2.26993391668594
"3210",-1.6290463139583
"3211",-2.38813610587374
"3212",-4.03070711230197
"3214",-0.634147518484212
"3215",-0.650198082195431
"3216",-3.36087458649112
"3217",-1.3716112637735
"3218",-1.98826868316851
"3221",-0.736604676691371
"3222",-0.736949404573977
"3223",-1.57968918919428
"3224",-1.27759465387103
"3225",-3.31168214573151
"3226",-0.842167782447774
"3228",-1.54911243345529
"3229",-1.72999622308095
"3230",-5.72435703909346
"3231",-2.09459472221434
"3232",-2.2101869064646
"3233",-1.58041853865208
"3234",-1.16024027241568
"3237",-1.66235398148407
"3238",-1.12550432680828
"3239",-0.523430423171561
"3240",-1.41986573002183
"3241",-4.47564770804883
"3242",-1.89743311493604
"3243",-3.37577324615063
"3245",-4.94698897303894
"3246",-7.12778429841822
"3247",-6.73356348616059
"3248",-2.11786566136584
"3249",-2.14830952283918
"3250",-2.51733822699543
"3251",-5.22485919591497
"3252",-1.44696879791425
"3254",-13.9031460895115
"3255",-2.05235085147743
"3256",-1.97585655659898
"3257",-3.27547220336132
"3258",-1.66846770694031
"3259",-7.79446402091517
"3261",-1.69748806493246
"3263",-3.34504303873763
"3265",-5.12956774200427
"3267",-5.97417161792171
"3268",-2.98124018438995
"3269",-1.94920606133013
"3270",-7.64027487454388
"3271",-0.849351643177727
"3272",-1.893569597121
"3273",-1.61596412111328
"3275",-2.78384556924269
"3276",-4.20016498440287
"3277",-2.33923261151699
"3278",-3.06900538285711
"3279",-6.07120579477834
"3280",-5.46401637208481
"3281",-1.5485764892656
"3282",-2.35518498908408
"3283",-1.91524868390263
"3284",-1.94973253179543
"3285",-3.24521237783458
"3286",-3.09006095945222
"3287",-2.51505814900725
"3288",-1.97244232679458
"3289",-6.12739220870978
"3290",-4.65779975687818
"3291",-3.40476891034589
"3292",-4.34853934806952
"3293",-2.35969203889616
"3294",-2.25061282883667
"3295",-9.36214661023766
"3296",-10.1386955168559
"3297",-3.33175642310891
"3298",0.477564927281833
"3299",-2.33511102043599
"3300",-2.82513821486367
"3301",-8.12243151756974
"3302",-5.15914672294397
"3303",-3.59485551097006
"3304",-2.97216033387434
"3305",-7.42490445597048
"3306",-4.44614024726508
"3307",-4.75451617288203
"3308",-2.97223043897736
"3309",-4.70766499258588
"3310",-5.01286634574009
"3311",-5.67231604589983
"3312",-2.58126703587607
"3313",-2.35948512311143
"3314",-5.97249430390005
"3315",-9.72986648038176
"3316",-2.60816069285463
"3317",-2.90189907561265
"3318",-0.941313882688917
"3319",-2.15814289892057
"3320",-4.77528026438344
"3321",-7.59058301692315
"3322",-2.41888682220227
"3323",-1.55111601974352
"3324",-1.89622019317926
"3325",-3.96677536607629
"3326",-3.13062696833367
"3327",-8.33526237544046
"3328",-3.40225458440847
"3329",-4.72332687713705
"3330",-4.76638454865451
"3331",-6.34884537903034
"3332",-4.14225059166637
"3333",-4.28832616921957
"3334",-5.40349946733568
"3335",-2.91470435081757
"3336",-4.75410801840434
"3337",-3.9046487545404
"3338",-5.6033813577954
"3339",-6.44934413991973
"3340",-7.36105336029087
"3341",-7.47927141175268
"3342",-2.42394090561382
"3343",-1.77525952365571
"3344",-1.40663952411447
"3345",-0.370491875260342
"3346",-0.937424253956721
"3347",-1.75138499243499
"3348",-2.35838438872926
"3349",-1.0820508116179
"3350",-2.21559501856325
"3351",-8.44221930148126
"3352",-2.61729945615477
"3353",-5.59658492981666
"3354",-4.22674906318463
"3355",-2.62119235472264
"3356",-1.82602897840576
"3357",-3.37784946434988
"3358",-3.485567746399
"3359",-3.58370945446828
"3360",-4.26545086754064
"3361",-3.5509463940034
"3362",-6.01140055937742
"3363",-3.28959060618527
"3364",-2.19402464054787
"3365",-3.24433069113795
"3366",-4.19981132789624
"3367",0.431718181488662
"3368",-3.01943213122283
"3369",-3.47186781541888
"3370",-5.57341197412222
"3371",-5.35681401299985
"3372",-5.18671834270233
"3373",-6.17804928919583
"3374",-4.69951936537799
"3375",-5.45038035784341
"3376",-5.47105249005554
"3377",-5.72141870994955
"3378",-3.36615742973939
"3379",-0.669899587227974
"3380",-6.76277846283381
"3381",-11.0503872039944
"3382",-2.0691200252005
"3383",-3.50897771185183
"3384",-3.03197309104365
"3385",-2.2070807902671
"3386",-2.42892528134152
"3387",-1.38948003868754
"3388",-4.26756981970129
"3389",-4.93027192981663
"3390",-6.12071677921872
"3391",-1.67684596239346
"3392",-0.672999488373847
"3393",-1.2244767126956
"3394",-0.906368733059338
"3395",-4.59226937372489
"3396",-2.39360328658549
"3397",-1.7716305643462
"3398",-5.155975894444
"3399",-1.47748478251711
"3400",-3.23574136419137
"3401",-1.55764787079661
"3402",-4.81930400541921
"3403",-7.38296901350631
"3404",-4.1048110898401
"3405",-3.7420722334827
"3406",-6.13907023310483
"3407",-2.98598652057143
"3408",-1.43851250228383
"3409",-2.82420016486978
"3410",-4.57754395700587
"3411",-5.04195232752841
"3412",-0.62962657118328
"3413",-1.40321481808294
"3414",-2.98710058458917
"3415",-3.05227112455643
"3416",-3.20151793789461
"3417",-1.27734567332993
"3418",-2.68115493383939
"3419",-4.72590298121261
"3420",-5.36231788110339
"3421",-12.820697038082
"3422",-3.38945948274983
"3423",-3.20225741872667
"3424",-2.00239417405717
"3425",-2.02787516354266
"3426",-2.59848350019175
"3427",-0.970368170719524
"3428",-3.61875032153796
"3429",-3.2425600349475
"3430",-2.27171964373852
"3431",-1.89585518693193
"3432",-7.49459560933505
"3433",-4.69515953157867
"3434",-1.8697074519761
"3435",-1.60949070556609
"3436",-4.68433116797456
"3437",-5.52575315889183
"3438",-5.27051458786804
"3439",-5.62492320731747
"3440",-6.00212469668455
"3441",-7.29956966789481
"3442",-1.59303238888501
"3443",-3.24237797353265
"3444",-3.27461585689332
"3445",-5.13571540169278
"3446",-5.79298433255789
"3447",-7.42565370693967
"3448",-223.178411240078
"3449",-2.0195724012051
"3450",-4.41751865234087
"3451",-3.88553043444563
"3452",-4.86204878993902
"3453",-5.62706446014045
"3454",-3.01360048462126
"3455",-2.19002440923944
"3456",-2.80356364714513
"3457",-6.28781835934862
"3458",-7.16952817826697
"3459",-0.78176182100853
"3460",-79.5588479671793
"3461",-0.897753150357744
"3462",-1.48567759827895
"3463",-3.45489974768125
"3464",-3.68403630775552
"3465",-5.96496850905692
"3466",-5.41860217745466
"3467",-1.38027917165985
"3468",-3.91391878412793
"3469",-6.29802967976241
"3470",-5.87673298674977
"3471",-4.66998512620935
"3472",-4.73856131681492
"3473",-5.27056392925772
"3474",-4.74300165695919
"3475",-5.43735166110255
"3476",-5.38149238952508
"3477",-6.54185807226344
"3478",-5.15135743908397
"3479",-5.40146700741093
"3480",-1.90543286927863
"3481",-3.90070337886732
"3482",-4.91781262931451
"3483",-4.42060164048942
"3484",-5.24479735165141
"3485",-5.59974566420871
"3486",-4.4119532444752
"3487",-7.20105068056708
"3488",-6.97656843113248
"3489",-7.54067718087379
"3490",-53.6305629543992
"3491",-2.29537132105921
"3492",-3.35256956698481
"3493",-5.38709221699949
"3494",-5.57083912942841
"3495",-5.31541064554617
"3496",-9.17199509501225
"3497",-1.89684399964898
"3498",-3.93257673452098
"3499",-4.98502450097249
"3500",-4.36306696342811
"3501",-2.48852852646738
"3502",-2.6158771537315
"3503",-4.34302099235433
"3504",-2.15130729946179
"3505",-7.31829848679814
"3506",-6.51349627951979
"3507",-5.14291895140451
"3508",-5.69288712786263
"3509",-3.79054211385289
"3510",-2.98832846033756
"3511",-4.78377698823141
"3512",-4.91610477238859
"3513",-4.99220365008313
"3514",-4.17659919548737
"3515",-1.7290617917165
"3516",-3.55049728329442
"3517",-3.81674551854323
"3518",-4.2105466779928
"3519",-7.98066755829228
"3520",-7.57562231567599
"3521",-9.34741332387006
"3522",-2.64108706054887
"3523",-2.39239534885075
"3524",-3.01853184243802
"3525",-1.92313070274793
"3526",-2.52037568833791
"3527",-1.32154376730176
"3528",-1.5041850005592
"3529",-1.26435252221302
"3530",-0.145356504724532
"3531",-1.88535080106243
"3532",-4.7881326208927
"3533",-8.55191098228107
"3534",-1.75787595283188
"3535",-1.56450014288001
"3536",-6.79000153696168
"3537",-2.83112515904688
"3538",-5.0680441884804
"3539",-6.24449754795864
"3540",-8.78225179268424
"3541",-4.70376428184514
"3542",-5.18305117728266
"3543",-2.32119072703597
"3544",-2.18881377344832
"3545",-1.17384916117598
"3546",-1.63952223984205
"3547",-1.76453732897224
"3548",-2.0747609718623
"3549",-0.780814356461121
"3550",-2.30786383203534
"3551",-2.62943208784131
"3552",-2.15200152038912
"3553",-0.88775052384338
"3554",-0.614833017692916
"3555",-2.73459622142255
"3556",-11.0660167744556
"3557",-8.60524244600876
"3558",-8.51003245003
"3559",-6.99425432163341
"3560",-5.32622780273604
"3561",-3.11742197492407
"3562",-1.10544486568165
"3563",-1.74137003441572
"3564",-2.59609049796555
"3565",-2.35592734394467
"3566",-2.63045210056137
"3567",-0.927442115574991
"3568",-1.69705253487081
"3569",-1.96371881061697
"3570",-1.77319913936432
"3571",-1.7743382157646
"3572",-3.44345939982219
"3573",-0.599137580357194
"3574",-1.43990046542299
"3575",-1.5671903636532
"3576",-3.02854888288803
"3577",-2.29477370001968
"3578",-3.44298064190107
"3579",-2.09674166749147
"3580",-2.824515767815
"3581",-1.92057279236366
"3582",-3.04371020282198
"3583",-1.23664727540481
"3584",-1.10345049652966
"3585",-2.23396033759596
"3586",-2.11011132540821
"3587",-4.12271656661505
"3588",-1.99405314414571
"3589",-3.31090318789202
"3590",-3.76261371403814
"3591",-2.68842327238869
"3592",-3.5382453844376
"3593",-2.59917822467474
"3594",-8.0888434377953
"3595",-7.33957579383141
"3596",-2.45393362695555
"3597",-0.806168253995736
"3598",-5.4633268223258
"3599",-3.61358335888988
"3600",-8.8313602444575
"3601",-8.72726870653131
"3602",-5.41797343072523
"3603",-7.04310743262394
"3604",-3.12685760007057
"3605",-0.738703258318793
"3606",-0.832074896048255
"3607",-1.06380631829938
"3608",-0.116377274598022
"3609",-1.11831132513561
"3610",-1.79421380656817
"3611",-1.47480422937966
"3612",-1.88316987218928
"3613",-2.68453702089454
"3614",-4.9284016404734
"3615",-3.3104322826853
"3616",-2.30842520107919
"3617",-3.89762887711464
"3618",-3.10733776292943
"3619",-6.03230671630476
"3620",-10.3811949284613
"3621",-5.83072382902975
"3622",-7.31029802346623
"3623",-5.32850792498292
"3624",-9.87160404304825
"3625",-10.2770661490382
"3626",-4.02411760683802
"3627",-13.433437806071
"3628",-4.85584908976872
"3629",-3.98036876588395
"3630",-1.02293759716187
"3631",-2.85025128971674
"3632",-3.00912216999615
"3633",-4.62533983045887
"3634",-5.86463483311965
"3635",-5.84608239416033
"3636",-1.77401302854594
"3637",-1.76644823113548
"3638",-0.980394727328388
"3639",-1.43695110494846
"3640",-1.38594621177182
"3641",-2.7978656646834
"3642",-0.878382322647326
"3643",-2.31159172502709
"3644",-2.11690433223421
"3645",-1.43756897525569
"3646",-1.30247568679823
"3647",-2.06447035615773
"3648",-1.36715997471927
"3649",-2.70523946186501
"3650",-0.21527773555556
"3651",-2.39632984559307
"3652",-86.7678225999054
"3653",-3.27610322434322
"3654",-5.24918452124908
"3655",-2.9554404913583
"3656",-4.74047166477297
"3657",-6.57298034971868
"3658",-4.89556176033946
"3659",-6.41461192825349
"3660",-7.47466042532224
"3661",-8.72750633211666
"3662",-7.79731349034947
"3663",-4.65400460210938
"3664",-0.582823303484076
"3665",-1.22408423026027
"3666",-0.417528547083094
"3667",-0.374984459399258
"3668",-1.02706479131595
"3669",-1.27962205269034
"3670",-1.13083663542122
"3671",-5.87463190641128
"3672",-2.21074804069465
"3673",-3.75556691036275
"3674",-4.97017556951724
"3675",-9.06902078761394
"3676",-7.80162273927471
"3677",-1.71200735527506
"3678",-2.68868622018724
"3679",-2.83570769003737
"3680",-2.56290903492911
"3681",-2.87908721262005
"3682",-3.00834621924375
"3683",-2.76355439584398
"3684",-5.37420612434781
"3685",-2.92462789908271
"3686",-2.45136087909839
"3687",-2.67325122735355
"3688",-1.68684783892402
"3689",-2.33985301018296
"3690",-2.51839053080337
"3691",-2.83012068928406
"3692",-3.48863766866157
"3693",-6.13546834960465
"3694",-3.87202059212092
"3695",-4.52202296865954
"3696",-2.18513905349246
"3697",-2.11660841630598
"3698",-3.48830812348444
"3699",-2.31367416039944
"3700",-3.28637329338611
"3701",-6.61315715916811
"3702",-4.99231266404587
"3703",-4.64090209065384
"3704",-5.14443010627994
"3705",-6.50070639066286
"3706",-2.42958250459739
"3707",-4.62275503026277
"3708",-6.47305001519663
"3709",-3.94608219430438
"3710",-6.41533254655701
"3711",-11.3209543184871
"3712",-11.0325382553551
"3713",-6.38608596930368
"3714",-2.40740619919876
"3715",-3.27400254457112
"3716",-1.28689342146342
"3717",-2.48318764575413
"3718",-4.3782965652251
"3719",-3.2161776136561
"3720",-1.89067703539286
"3721",-2.36864978525836
"3722",-9.15752389200773
"3723",-6.76786325325028
"3724",-83.5570902486323
"3725",-2.45651188362339
"3726",-4.08038528101042
"3727",-0.646212975235414
"3728",-11.7075633794613
"3729",-4.19531253592498
"3730",-2.4316219004437
"3731",-0.730753248397292
"3732",-1.97457772191308
"3733",-0.734676594443926
"3734",-5.34116341524091
"3735",-4.87013576193888
"3736",-2.7503098940783
"3737",-3.43322538043989
"3738",-4.59543519656694
"3739",-5.63819634342471
