1293,4.36133930351607,Meredith Ryan,Skipper,23
1040,1.93001896988792,Christopher Long,Skipper,23
1098,1.83280386097063,Kirin Dhaka,Skipper,27
1333,1.65877213788466,Annie Buelt,Skipper,24
932,1.48158102609167,Hayden Earl,Skipper,25
1201,1.47285002944628,Anastasia Mastrocola,Skipper,23
1055,1.20029121630807,Mia Porter,Skipper,22
1297,1.07113535144632,Leopold Brandl,Skipper,24
1029,1.03521822812758,Walter Henry,Skipper,23
801,0.939443756750224,Charlotte Costikyan,Skipper,24
1026,0.889611161812935,Jonathan Bailey,Skipper,22
802,0.886332730132342,"Jewel ""Min Min"" Kelly",Skipper,24
1059,0.835131556206445,Sam Monaghan,Skipper,24
777,0.826994699175867,Johnny Perkins,Skipper,25
1051,0.756902787658727,Kurban Ali,Skipper,21
789,0.729394939675388,Ajita Nair,Skipper,23
1180,0.667129026503058,James Paul,Skipper,23
800,0.652343109256376,Caroline Sibilly,Skipper,26
799,0.647421016247977,Emily Bornarth,Skipper,24
790,0.622738820520949,Shay Gualdoni,Skipper,25
1049,0.617530792973589,Paris Henken,Skipper,22
899,0.611945683352341,Ava Hurwitz,Skipper,27
990,0.58800311637626,Michelle Lahrkamp,Skipper,23
985,0.537848054972992,Asher Zittrer,Skipper,23
791,0.453246457026747,Mason Chapman,Skipper,26
906,0.438679398511937,Reed Weston,Skipper,23
393,0.436847077935495,Ruby Gordon,Skipper,23
748,0.435158329172721,Oscar Gilroy,Skipper,27
1360,0.405931195417654,Yumi Yoshiyasu,Skipper,24
1226,0.379916292850557,Warren Wegener,Skipper,23
893,0.369079808036968,Oliver Hurwitz,Skipper,25
762,0.355373409874632,Rowan Clinch,Skipper,27
880,0.346060561114196,Kent Colbrunn,Skipper,24
921,0.339173637340735,Cameron Giblin,Skipper,23
783,0.31530262582308,Cole Bender,Skipper,26
795,0.312287998141358,Aoife Cannon,Skipper,23
1018,0.298176734377497,Clayton Snyder,Skipper,22
704,0.256695069228754,Julia Shannon-Grillo,Skipper,24
1021,0.234871143798202,Dylan Ascencios,Skipper,24
803,0.227093004534355,Emma Snead,Skipper,23
1253,0.226244089222139,Bronwyn Jensen,Skipper,25
874,0.217720588908398,Jack Charlton,Skipper,27
792,0.217590191372155,Zachary Brooks,Skipper,23
697,0.210393102780829,Noah Zittrer,Skipper,26
699,0.202547685757173,Katie Nelson,Skipper,24
882,0.176217070009944,John Woodward,Skipper,26
1291,0.168290164552659,Abbie Chipps,Skipper,25
829,0.160472539482414,Lilly Bjerke,Skipper,25
884,0.156405243610304,Toby Sullivan,Skipper,24
1423,0.141153841416455,James Lilyquist,Skipper,28
879,0.133307106519333,Zander West,Skipper,26
1435,0.125167629660741,Kate Danielson,Skipper,28
701,0.112015855834357,Benjamin Dufour,Skipper,26
793,0.097311395320677,Ethan Hall,Skipper,23
388,0.0931383858609296,Teagan Cunningham,Skipper,22
1017,0.0885328377492316,Christian Spencer,Skipper,22
749,0.0866110423601834,Nathaniel Adams,Skipper,26
288,0.0721786622559253,Jack Derry,Skipper,25
712,0.0669048045243357,Caden Meyers,Skipper,27
721,0.0557993050344816,Mathis Destouches,Skipper,25
833,0.053541136249593,Telis Athanasopoulos Yogo,Skipper,22
914,0.053148660448664,Nicholas Chesemore,Skipper,27
987,0.0456892106853117,Kiki Bruzzi,Skipper,25
838,0.0425084817366379,Richie Gordon,Skipper,21
839,0.0414881053086718,Jack DeNatale,Skipper,22
894,0.0384308029495317,Walter Chiles,Skipper,27
502,0.028969865135688,Zachary Champney,Skipper,22
850,0.0213742414760256,Lourdes Gallo,Skipper,24
454,0.0194973893259167,Jaden Unruh,Skipper,26
1054,0.0187202918705407,William Ciniski,Skipper,24
905,0.0009046500036542,John Hultquist,Skipper,23
698,0.0006598633038361,Matthew King,Skipper,24
1,0.0,Diego Escobar,Skipper,25
1056,-0.0107945575798305,Severin Gramm,Skipper,23
1061,-0.0163028791602806,Tyler Miller,Skipper,23
782,-0.0262716185593028,Collin Ross,Skipper,25
1048,-0.0327213012740573,Madison Leslie,Skipper,23
979,-0.0332869624564189,Hunter Cutting,Skipper,21
830,-0.0358530753426325,Alex Bowdler,Skipper,22
848,-0.0423217861960263,Christina Van Dyke,Skipper,23
804,-0.0523851465846934,Miya Preyer,Skipper,23
35,-0.056953832163229,Owen Lahr,Skipper,23
908,-0.062329887821345,Brody Schwartz,Skipper,24
988,-0.0671995277726358,Axel Stordahl,Skipper,24
2,-0.0695882835325925,Daniel Unangst,Skipper,24
991,-0.0824930659328773,Samuel Ephraim,Skipper,22
1200,-0.104816149510303,Colby Green,Skipper,25
1179,-0.112378387141013,Parker Purrington,Skipper,23
1028,-0.123107952010988,Hunter Zonnenberg,Skipper,23
702,-0.141257420084734,Brady Parks,Skipper,25
813,-0.141695086932176,Jack Parkin,Skipper,21
760,-0.146142881669789,Caroline Hurley,Skipper,25
1175,-0.147590787887259,Annika Irene,Skipper,23
886,-0.169873002858381,Cameron Turner,Skipper,24
903,-0.173122902907592,Charles Maier,Skipper,26
904,-0.174005824599183,Devon Valenta,Skipper,26
6,-0.174529798287868,Peter Lobaugh,Skipper,24
767,-0.190392005975727,Gabi Feleciano,Skipper,27
1037,-0.193675304481953,Nick Budington,Skipper,25
711,-0.195624242957934,Ian Knox,Skipper,24
1084,-0.199986409731923,Ximena Escobar,Skipper,25
1057,-0.201867565464918,Penelope Weekes,Skipper,25
895,-0.204590019022405,Olivia Drulard,Skipper,27
703,-0.206718820131691,Kalea Woodard,Skipper,24
