s22/,saisa-north-points-charleston,Charleston,"March 19, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,washington-team-race,Washington College,"March 19-20, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Team
s22/,pccsc-south-designate,Southern Cal,"March 19-20, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,kings-point-team-race-invite,Kings Point,"March 19-20, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Team
s22/,70-invite,Coast Guard,"March 19-20, 2022",NOT ALLOWED  Promotional Regatta,J-70,1 Division
s22/,south-new-england-team-race,Coast Guard,"March 19-20, 2022",Cross Regional Regatta,420/FJ,Team
s22/,2022-graham-hall-team-race,Navy,"March 19-20, 2022",Cross Regional Regatta,FJ/Z420,Team
s22/,st-mary-women-interconference,St. Mary's,"March 19-20, 2022",Cross Regional Regatta,420,2 Divisions
s22/,np6,UNC Wilmington,"March 27, 2022",NOT ALLOWED  In-Conference Regatta,420,2 Divisions
s22/,central-series-march-27,Mass Maritime,"March 27, 2022",NOT ALLOWED  In-Conference Regatta,FJ,2 Divisions
s22/,staake-team-race,MIT,"March 26-27, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Team
s22/,boston-team-race,Boston University,"March 26-27, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Team
s22/,rollins-south-points,Rollins,"March 26, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Combined
s22/,harpswell-sound-team-race,Bowdoin,"March 26-27, 2022",NOT ALLOWED  In-Conference Regatta,420,Team
s22/,last-chance-women-team-race,Connecticut College,"March 26, 2022",NOT ALLOWED  In-Conference Regatta,FJ,Team
s22/,first-year-icebreaker,Notre Dame,"March 26-27, 2022",NOT ALLOWED  In-Conference Regatta,420,2 Divisions
s22/,hanbury,Christopher Newport,"March 26-27, 2022",NOT ALLOWED  Two-Conference Regatta,FJ,Combined
s22/,70-invitational,Coast Guard,"March 26-27, 2022",NOT ALLOWED  Promotional Regatta,J-70,1 Division
s22/,jan-friis-team-race,Roger Williams,"March 26-27, 2022",NOT ALLOWED  Interconference Regatta,420/FJ,Team
s22/,admiral-moore-team-race,NY Maritime,"March 26-27, 2022",NOT ALLOWED  Interconference Regatta,420,Team
s22/,connecticut-valley-dinghy,Coast Guard,"March 26-27, 2022",Regional Regatta,FJ,2 Divisions
s22/,joseph-duplin,Tufts,"March 26-27, 2022",Cross Regional Regatta,Lark,Team
s22/,seahawk-women-team-race-interconference,St. Mary's,"March 26-27, 2022",Cross Regional Regatta,420/FJ,Team
s22/,aaron-szambecki-team-race,Old Dominion,"March 26-27, 2022",Cross Regional Regatta,FJ/Z420,Team
