483.3903875092799,Chloe Mahachek '25 *
487.82078827343946,Sophia Pless '25
531.7568610420909,Dylan DiSunno '22
543.516422479509,Andy Seiple '22
544.6980090486156,Bootsie Glasser '25
578.7906636441134,Michael Boyd '21
580.3710352191594,Ferid Ruano '22
590.8617287380077,Caleb Prugh '26
599.013998640745,Yunwen Xu '27
608.8038869127786,Harry Huynh '22 *
609.3900490370319,Peter Lillys '20
612.1732855847503,Adam Mena '25
617.6634308790259,Jaqueline Hatje '23
622.7379194401008,Emma Stahl '23 *
624.2940245483535,Jacob Howlet '24 *
625.2579572837744,Warren Ko '19
626.232303887602,Evan Snyder '24
627.9682918545199,Buttler Gao '23 *
648.139190889513,Tiegan Witte '24 *
648.5874810025641,Nerissa Larrabee '20
653.0624098513855,Tia Peterson '25
653.0624098513855,Alexander Cronin '26
653.8723784192738,Gage Mandrell '23 *
654.2314368010426,Bryson Dort '23 *
654.9327341736264,Ethan Baker '24
656.19897979624,Matilda Berke '21
656.8590503897545,Sophie Moore '22
657.2558433926467,David Carrion '24
658.3060388550753,Harrison Rohne '26
659.6708376612285,Damiana Zaborowski '26
660.5689790282008,James Nave '27
661.1990347313423,Aleksandra Jacewicz '25
661.3430646110205,abraham gomez '25
662.2777864601336,McCaslin Miles '26
665.2355711692165,Nick Jindra '24 *
665.3313029734504,Morgan Lovegrove '24
665.4826736142547,Mary Outland '25
666.4867254245457,Andrew von Glahn '26
668.0451604209265,Olivia Feaster '26 *
669.968963694523,Connor Murray '22 *
670.6843194772787,Abby Van Brimmer '27
671.6268382355971,Zhenyu Yin '21
671.6926330745904,Kayla Teuscher '26
672.2112896311168,Lucy Norton '22
672.3194954223636,Hannah Santantonio '21
674.4226488904134,Joseph Mrazek '24
674.9564890246558,Jessica Nelson '18
676.4592267127015,John Sullivan '26
676.8324372295607,Abe Pankratz '25
678.3122859315055,Rebekka Perinne '26
678.8589631050811,David Koestler '25
682.7945872124351,David Robertson '21
683.277541060023,Drew Miller '22
684.958432783917,Brenden Jackett '22 *
685.0925226247352,Robert Cantus '25 *
685.6269346644638,Deaton Grove '23
686.3596988542112,Devin Shah '24 *
686.6504608151412,Andrew Chang '22 *
688.3179913126595,Zach Doe '24 *
689.1595228010577,Jacob Crandall '27
689.4619079618999,Manuel Mackenna '25
690.8956016807637,Alex Zowacki '23
691.2860096571161,Siobhan Dornfried '25
691.5609482709506,Benjamin Uberti '21
692.0381216277501,Victoria Canales '26
692.9906070943296,Taylor Whiteman '24
694.0230354730049,Holden Clarke '24 *
694.3351159570324,Conlon Ranta '21
694.3351159570324,Elijah Gass '21
694.3351159570324,drew cyr '20
696.2607753521777,Christopher Rabasa '20
698.1088764881083,Mikaela Eck '21
698.750270320267,Kiernan Daly '27
699.3829409605025,Isabella Gardina '22
699.7652376449873,Nora Connery '22
699.9156187752276,Nic Delia '25
700.1843167367435,Michael Dobransky '21
700.9502867318404,Alexia Civit '26
701.4528216838298,James Elder '15
701.6215006848394,Lucia Wiggers '22
701.8415855183338,Ian Martin '23
702.9669643949089,Jonathan Fisher '22
703.0716647943412,Kegan Reynolds '26
703.3407985862459,Brady Price '20
705.8322167553915,Riley Shannon '23 *
705.9643760551911,Marcus Murphy '22
707.3703512140121,Jack Webb '21
707.8863978363464,Reagan Mason '20
708.011636377544,Livia Wagner '24
708.0224604499151,Sander Katz '25
708.0951256555628,Liam Moran '24 *
708.1470914495862,Amira Kleiman '24
708.1470914495862,Michael Blose '27
709.391846138156,Anika Duszynski '27
710.0888179115275,Bodhi Silberling '27
710.8492819769331,Emily King '25
711.0901096495387,Mary Canzano '22
711.4935136404969,Daniel Vick '19
711.5028043021166,Thea Joseph '22
711.6329421042411,William Tella '25
711.7204385839799,Ashley DiMarzo '23
712.0026900677861,Michael Pugh '24
712.8616131508527,Oscar Rios '23 *
713.6951489750337,Andrew Collins '25
713.8007612317274,Ben Carsner '20
714.3996166171819,Samuel Shelenberger '24
714.3996166171819,Samuel Bigham '24
714.9577106254751,Brian Polak '27
715.2455599095235,Caroline Grogan '26
715.508958937117,Emily Rauch '22
715.8692836340074,Bryce Hudson '21 *
715.9077167460006,Tyson Hammer '25
716.2878459532973,Carson Fowler '25
716.4745004073602,ella notdurft '25
717.5769939791254,Sophie Fernandez '26
718.3226324223015,Sadie Swindall '21
718.6866906840148,Izabella Jurczuk '24
719.7557760955495,Kaiya Lawing '25
719.7630518245554,Sydney Bak '24
720.509237094882,Caleb Vanderburg '24
720.5557496964141,Nakshatra Bansal '25
720.9359255514604,Lauren Paulson '23
721.6404443075676,Katherine Quinn '22
721.997536676824,Cameron Strafford '22
722.8159473657639,Harry Boutemy '24
723.4477843604849,Pascale Hunter '25
724.6593071652943,Connor Lawrence '26
724.9335080605024,Maxwell Yarter '22
725.5597596896924,Blake Doscher '26
725.8922782281302,Kurt Richards '24 *
726.9704936497111,Jeffrey Eismann '22
727.0298349524533,Alexandra Toaxen '27
727.38965832949,Cate Williams '25
727.477045448356,Emma Retzlaff '25
727.5093402244611,Elizabeth Bik '21
727.6376779435454,Georgia Green '28
728.0524435692553,Alex Rosenbaum '24
728.1935781565468,Corbin Brito '26
728.3055018330922,Hali Aniol '19
728.4957001983477,Alexandra Hanson '21
728.9614023399744,Acadia Hegedus '22
729.1355816769964,Sophie Sleeman '26
729.3914561578276,Josh Rosen '26
729.4916829950657,Kathryn Frank '22
729.545828764433,Jesse Campbell '19
729.571490095673,Laurel Bollinger '24
729.571490095673,Audrey Rose '23
729.6471849279977,Emmalyn Holmquist '26
